Study_Hours,Attendance_Percent,Sleep_Hours,Practice_Tests,Score
7.22,89,4.8,3,78.1
9.28,100,7.2,3,97.3
4.54,69,8.6,2,52.2
1.18,79,7.2,4,16.9
4.67,79,7.6,4,52.1
5.25,65,7.2,6,57.6
7.48,61,4.9,0,78.7
10.0,77,7.1,2,100.0
4.97,77,5.3,6,57.7
6.53,65,6.6,6,68.7
3.67,70,6.0,7,46.7
3.24,95,4.7,1,47.3
3.49,85,8.4,0,39.5
6.75,86,4.7,5,71.4
6.42,88,7.9,3,67.8
3.04,78,6.5,7,32.5
1.65,98,8.1,2,33.9
3.45,86,4.9,1,34.2
4.88,69,6.7,4,48.3
5.33,90,8.9,3,54.7
4.84,72,8.6,2,48.4
8.71,86,6.0,4,84.2
8.3,79,8.3,7,80.7
8.72,90,6.1,6,87.0
4.83,72,8.9,3,51.2
5.93,86,4.7,7,59.3
7.2,84,8.9,2,79.6
5.21,92,8.8,5,49.9
8.76,88,4.9,7,94.2
0.65,69,4.8,4,12.0
3.72,65,8.3,6,47.4
9.56,91,8.4,0,97.2
6.37,78,9.0,1,63.2
4.62,100,7.7,1,45.8
4.71,61,4.7,0,56.1
3.29,69,5.6,6,38.6
5.88,70,5.3,6,67.8
6.39,97,5.1,7,63.4
6.56,60,8.5,7,68.4
9.06,70,4.8,5,93.7
9.88,87,7.6,7,94.7
8.53,84,8.3,1,81.4
2.75,96,5.8,4,37.1
0.71,85,5.7,0,23.5
9.15,78,8.0,3,95.5
6.27,100,5.4,4,64.2
6.94,68,7.3,0,75.9
3.43,97,6.1,2,40.9
1.36,86,5.3,2,20.6
7.97,83,6.9,4,87.4
8.39,90,8.9,4,81.1
7.59,67,6.6,1,75.5
1.84,85,8.9,5,35.5
1.36,76,6.9,7,22.1
4.0,76,7.1,5,50.8
1.53,61,7.3,5,21.1
9.19,64,7.4,7,87.5
9.14,86,5.0,0,88.4
9.49,91,5.0,3,91.4
8.93,89,6.2,6,83.9
6.08,86,7.4,7,68.5
6.35,77,4.6,5,74.3
2.56,75,8.3,1,33.4
9.82,82,4.8,4,95.3
2.3,89,4.9,3,26.0
6.6,61,4.7,5,71.0
2.81,96,5.4,3,30.5
6.07,74,6.0,2,69.8
7.99,77,8.4,2,83.0
9.88,71,5.0,0,98.6
1.75,75,7.1,0,25.0
2.16,86,6.9,1,23.6
5.02,92,7.2,7,60.1
5.29,62,7.8,4,65.1
4.85,63,9.0,6,61.6
4.55,88,4.8,1,45.3
3.56,68,5.7,5,37.3
4.12,78,6.5,6,49.4
1.44,95,7.7,3,27.8
4.59,86,6.0,7,58.1
4.29,80,6.4,4,53.0
4.06,90,4.8,1,41.8
1.39,83,8.2,0,17.6
6.07,81,7.5,6,65.8
3.86,87,8.4,0,48.2
9.7,82,5.0,3,98.0
1.97,66,6.1,5,28.9
1.59,74,8.1,0,22.3
6.29,77,4.6,4,69.2
7.18,81,6.1,2,71.4
8.76,85,4.8,0,89.3
1.37,84,6.4,5,24.4
2.0,80,8.0,1,26.4
8.89,99,4.7,1,83.8
3.08,91,7.2,6,41.4
3.1,67,6.1,1,43.0
3.19,91,6.9,4,42.6
0.93,98,4.7,3,18.4
3.36,68,7.9,4,36.6
3.62,87,5.3,6,35.6
5.56,95,8.3,5,56.1
1.18,62,6.5,7,28.1
9.25,96,6.4,6,98.3
7.24,67,6.3,5,73.7
2.13,89,8.2,5,37.7
1.34,75,6.5,6,29.2
5.48,79,7.9,3,58.0
3.66,92,7.3,3,38.5
9.11,69,5.6,2,88.8
2.93,69,7.9,1,32.3
2.18,91,6.6,7,35.3
6.97,100,8.9,5,78.8
8.71,69,6.5,7,89.8
4.7,77,7.2,5,49.7
5.32,88,4.7,5,55.3
8.4,65,7.3,6,78.3
4.9,62,6.5,3,55.5
3.55,69,8.8,7,42.5
1.48,81,8.9,1,31.3
5.29,75,7.7,7,52.8
5.48,83,6.2,4,61.4
4.18,98,4.7,5,52.8
1.13,84,5.8,2,15.3
3.67,69,8.6,4,45.3
9.69,85,5.1,1,99.5
3.44,81,8.2,1,40.0
6.64,83,4.6,4,68.5
2.21,91,5.4,2,26.7
1.97,66,6.8,0,25.9
6.79,99,5.1,6,77.1
1.97,99,8.1,2,24.0
7.35,83,7.5,3,68.6
9.71,88,5.6,3,98.2
3.44,90,8.6,3,46.9
3.99,88,6.6,4,53.9
7.89,86,8.8,3,80.7
8.11,76,4.7,7,76.8
8.8,66,7.7,1,89.4
3.21,77,6.5,2,44.1
8.39,74,8.2,5,78.5
9.34,85,6.8,3,91.9
4.17,74,4.6,1,41.6
8.47,69,5.1,4,88.1
9.22,68,7.9,7,91.8
4.76,65,4.6,3,45.5
8.43,98,6.9,1,86.1
7.87,67,4.7,6,76.3
6.57,64,5.0,7,71.1
6.17,92,7.1,2,57.9
3.27,82,5.6,6,32.5
2.28,93,8.9,1,34.5
9.56,92,7.0,6,95.9
8.8,84,8.9,4,81.3
7.6,64,6.1,1,75.8
7.83,81,5.1,5,83.9
5.69,71,8.2,7,66.5
9.82,71,8.2,1,97.1
7.3,62,5.8,0,82.6
8.02,80,8.7,6,87.9
9.9,76,4.7,3,98.8
3.22,63,8.4,5,45.8
3.1,87,8.5,7,43.8
9.0,71,6.7,7,88.5
3.99,77,8.1,6,51.5
1.25,71,7.0,5,24.5
1.47,78,5.9,6,22.0
2.08,88,4.7,5,29.2
6.34,100,8.9,0,66.1
1.21,83,6.8,2,24.7
9.55,98,7.6,7,89.4
0.83,83,6.1,0,12.3
6.25,83,6.2,1,69.2
5.95,85,5.9,4,64.2
2.87,71,6.7,6,30.8
9.18,76,7.7,3,85.8
9.97,91,5.4,2,95.3
8.6,88,9.0,5,86.1
6.84,95,6.9,4,74.9
8.59,100,5.3,5,90.1
5.33,72,8.1,3,52.3
8.01,95,7.1,7,74.1
8.13,99,8.5,1,83.6
3.44,90,6.9,6,49.9
8.32,80,7.4,7,77.6
4.93,68,8.5,2,55.2
7.79,92,8.6,0,73.8
8.4,79,5.2,5,85.4
9.38,93,8.5,1,89.2
2.88,95,5.7,4,39.2
6.34,70,7.2,2,60.7
2.13,98,6.0,0,32.5
8.34,62,8.8,4,77.0
6.69,86,7.3,0,74.5
5.23,78,7.4,4,59.5
5.09,85,5.8,1,61.2
7.04,86,6.7,3,67.8
3.73,80,7.8,5,38.7
9.77,83,6.8,1,91.1
3.53,77,6.5,2,42.2
1.42,84,8.4,6,21.0
2.86,70,8.2,5,42.7
2.3,92,6.6,4,26.6
5.23,85,6.8,3,50.9
2.54,63,5.8,7,31.7
3.21,66,6.4,4,32.1
7.41,83,4.7,0,80.7
5.92,95,5.8,6,58.6
5.29,77,8.2,1,62.3
1.72,83,8.1,5,20.5
5.8,69,5.4,6,60.3
5.25,68,7.7,7,50.4
5.43,92,5.1,5,53.6
2.04,79,7.2,7,37.6
7.23,61,6.2,1,71.7
9.81,100,4.6,7,98.7
3.02,97,7.1,0,40.8
6.04,100,7.7,6,59.3
1.9,62,7.1,1,31.4
2.31,86,5.2,3,31.2
4.4,90,8.4,0,54.7
7.2,95,6.0,7,74.9
5.49,71,6.6,5,56.8
5.69,76,7.2,3,64.3
9.59,79,5.5,4,91.9
7.83,91,5.9,5,83.4
5.82,77,5.8,6,69.6
9.01,82,8.8,2,88.7
3.26,65,6.1,7,37.0
6.73,73,5.4,4,74.5
9.36,68,5.0,3,96.6
2.8,93,5.5,3,39.1
1.0,90,5.0,2,19.3
0.55,70,6.3,7,17.6
5.04,78,5.9,0,51.0
9.13,96,5.5,0,84.9
9.18,71,8.7,0,86.7
9.97,91,5.3,4,97.1
8.83,96,7.2,5,81.0
3.2,94,6.9,2,47.7
8.59,72,8.1,5,86.2
2.04,76,7.7,0,29.1
7.5,96,7.5,3,81.9
2.17,85,8.2,5,36.6
1.32,71,8.9,7,26.2
3.57,76,6.2,7,39.0
7.66,79,7.1,0,85.9
2.98,75,4.8,1,35.7
4.92,92,8.7,4,49.4
7.06,78,6.2,3,75.6
2.58,69,6.5,5,28.6
4.45,90,7.9,3,51.5
7.74,98,8.4,1,82.2
5.49,83,4.9,1,60.2
1.09,92,5.4,2,22.2
2.06,88,5.0,3,35.6
7.31,92,6.5,0,75.4
4.81,89,7.0,7,54.1
6.89,61,6.3,0,68.9
7.59,62,6.4,1,79.3
5.64,64,8.9,7,54.0
0.8,68,7.9,6,17.5
4.06,88,8.4,6,53.6
4.07,94,5.1,5,50.3
1.63,85,6.9,3,34.1
8.43,79,6.6,6,89.4
5.55,75,6.6,2,65.5
3.12,67,4.6,6,46.1
6.34,61,5.6,1,74.1
1.46,98,7.5,0,17.2
2.82,88,5.6,3,29.2
7.67,68,6.8,4,83.1
2.72,96,5.9,5,42.3
2.75,93,5.5,4,41.9
3.11,97,8.5,2,40.0
6.45,91,4.7,5,67.0
9.45,93,5.9,6,97.0
4.38,71,7.9,7,46.9
2.79,69,8.1,0,31.9
5.84,95,6.9,6,70.3
2.81,65,8.7,5,31.7
1.38,72,4.7,6,27.6
6.9,64,5.3,3,73.7
5.05,81,5.9,0,61.8
2.51,67,7.9,7,28.9
9.19,73,6.3,3,95.1
5.74,84,6.6,5,66.3
3.43,91,6.6,7,39.6
7.74,73,6.2,6,76.5
0.93,69,4.6,6,25.9
3.3,74,6.2,3,35.8
5.24,81,5.7,7,60.1
9.68,91,6.6,5,98.5
2.11,91,5.3,0,33.9
5.48,64,8.8,0,65.1
7.76,100,5.5,2,78.1
0.59,83,4.8,7,17.2
6.76,94,7.0,0,63.1
0.66,94,8.9,0,21.3
5.27,87,8.1,2,61.0
1.52,69,5.6,4,18.8
8.24,85,4.9,6,80.0
4.86,74,5.8,1,50.2
6.71,62,4.9,6,76.1
4.08,100,4.5,2,47.1
1.29,81,7.0,1,28.7
9.0,74,5.5,7,97.0
3.08,77,8.5,0,45.6
2.2,61,8.8,2,36.7
7.65,85,8.7,4,82.0
2.04,84,7.5,5,25.6
4.15,65,6.8,5,51.9
1.01,64,6.0,6,19.8
9.7,100,5.7,7,93.6
5.16,84,6.4,6,54.6
1.31,75,7.7,1,25.3
3.05,100,5.2,6,36.6
3.51,60,8.7,7,36.2
3.92,68,4.9,6,42.4
4.76,86,5.0,1,54.3
3.86,98,8.0,6,39.1
0.62,65,7.8,3,16.0
5.93,84,5.3,4,58.3
3.36,64,5.3,4,41.1
4.5,64,6.1,3,50.9
7.35,99,5.4,1,75.9
1.79,85,6.0,6,19.7
8.14,81,6.4,2,80.1
3.35,72,6.7,2,42.8
9.66,78,7.8,7,100.0
9.69,80,6.2,6,100.0
3.97,72,7.2,2,53.5
6.98,89,8.7,3,73.5
4.67,64,8.2,6,49.3
6.89,79,5.6,2,66.2
7.29,64,6.5,7,80.0
6.03,86,6.9,5,65.0
7.17,98,7.4,1,79.4
1.54,82,5.2,0,21.4
5.85,85,8.9,5,65.2
9.67,60,4.9,3,95.0
5.35,97,7.6,3,58.8
4.73,97,7.6,2,51.4
3.78,66,5.8,1,37.3
1.6,69,6.1,5,33.0
4.83,90,6.1,1,49.3
4.66,80,4.8,0,55.7
8.2,81,7.4,2,77.2
9.33,93,5.3,2,97.0
3.64,89,5.5,6,42.5
6.48,87,6.3,3,63.4
4.77,60,7.7,3,52.4
3.14,64,7.1,2,42.6
3.98,67,5.7,7,41.8
5.51,98,6.2,6,62.2
6.08,89,7.3,4,62.5
9.23,68,5.9,3,93.7
3.4,69,6.8,6,36.5
